,,PV,Load,Price,,SOC,,Action
0,,0,292.072924,3.615,,0,,1
1,,0,286.592761,3.585,,0,,1
2,,0,267.416542,3.49,,0,,1
3,,0,263.995714,3.48,,0,,1
4,,0,261.543744,3.45,,0.071,,2
5,,0,271.404546,3.44,,0.143,,2
6,,0,282.805628,3.49,,0.071,,0
7,,0,279.000744,3.41,,0.143,,2
8,,0,277.861595,3.48,,0.071,,0
9,,0,280.883292,3.49,,0,,0
10,,3.264157,288.887982,3.42,,0,,1
11,,49.291949,281.96193,3.38,,0,,1
12,,173.552007,277.662548,3.27,,0,,1
13,,349.702302,256.820253,3.07,,0,,1
14,,547.30523,273.721791,2.455,,0,,1
15,,752.55277,274.763236,2.37,,0,,1
16,,939.77578,296.506042,2.015,,0.071,,2
17,,1093.6144,312.137412,1.69,,0.143,,2
18,,1219.1712,287.593391,1.65,,0.214,,2
19,,1321.61858,289.878434,0.5,,0.286,,2
20,,1405.72991,267.691099,0.495,,0.357,,2
21,,1494.85088,263.37781,0.09,,0.429,,2
22,,1507.47495,251.01847,0.25,,0.5,,2
23,,1520.4373,244.52611,0.25,,0.571,,2
24,,1488.7092,254.25807,0.49,,0.643,,2
25,,1471.8998,256.97896,0.5,,0.714,,2
26,,1417.5381,248.20341,0.5,,0.786,,2
27,,1318.24522,245.805124,0.5,,0.857,,2
28,,1232.52092,229.898939,1.65,,0.929,,2
29,,1079.41157,228.5673,2.115,,1,,2
30,,904.88822,230.07624,2.405,,1,,1
31,,742.28343,228.237938,2.495,,1,,1
32,,561.6066,229.54632,3.125,,1,,1
33,,374.0949,232.77157,3.415,,1,,1
34,,211.179477,243.627716,3.62,,0.929,,0
35,,90.354979,263.068612,4.1,,0.857,,0
36,,15.977946,289.001731,4.715,,0.786,,0
37,,0.650648,350.951629,4.765,,0.714,,0
38,,0.030933,365.342424,4.765,,0.643,,0
39,,0,380.84897,4.765,,0.571,,0
40,,0,380.112522,4.73,,0.5,,0
41,,0,356.587816,4.73,,0.429,,0
42,,0,362.099586,4.635,,0.357,,0
43,,0,377.062125,4.3,,0.286,,0
44,,0,334.617284,4.2,,0.214,,0
45,,0,346.471927,4.155,,0.143,,0
46,,0,333.510703,3.635,,0.071,,0
47,,0,314.85917,3.605,,0,,0
