,Delta_Battery,Discreate_Actions,SOC
0,0.0,1,0.0
1,0.0,1,0.0
2,0.0,1,0.0
3,0.0,1,0.0
4,198.79999999999998,2,0.071
5,201.6,2,0.143
6,-201.6,0,0.071
7,201.6,2,0.143
8,-201.6,0,0.071
9,-198.79999999999998,0,0.0
10,0.0,1,0.0
11,0.0,1,0.0
12,0.0,1,0.0
13,0.0,1,0.0
14,0.0,1,0.0
15,0.0,1,0.0
16,198.79999999999998,2,0.071
17,201.6,2,0.143
18,198.8,2,0.214
19,201.59999999999994,2,0.286
20,198.8,2,0.357
21,201.60000000000002,2,0.429
22,198.8,2,0.5
23,198.79999999999987,2,0.571
24,201.6000000000002,2,0.643
25,198.79999999999987,2,0.714
26,201.6000000000002,2,0.786
27,198.79999999999987,2,0.857
28,201.6000000000002,2,0.929
29,198.79999999999987,2,1.0
30,0.0,1,1.0
31,0.0,1,1.0
32,0.0,1,1.0
33,0.0,1,1.0
34,-198.79999999999987,0,0.929
35,-201.6000000000002,0,0.857
36,-198.79999999999987,0,0.786
37,-201.6000000000002,0,0.714
38,-198.79999999999987,0,0.643
39,-201.6000000000002,0,0.571
40,-198.79999999999987,0,0.5
41,-198.8,0,0.429
42,-201.60000000000002,0,0.357
43,-198.8,0,0.286
44,-201.59999999999994,0,0.214
45,-198.8,0,0.143
46,-201.6,0,0.071
47,-198.79999999999998,0,0.0
